start,end,street_name,time
42762521,42748406,BostonRoad,7.23695
42762594,42746142,BarnesAvenue,47.20507166666666
42466971,42473266,MadisonStreet,47.90259555084744
42467167,42467168,MillerAvenue,24.350345384615387
42465425,42521154,34thStreet,40.48192222222223
42516884,42498758,VanderbiltStreet,15.036512702702705
42467164,42467167,MillerAvenue,24.416800769230765
42809585,42862148,69thPlace,5.94538984899329
42466967,42473259,GatesAvenue,42.82038125000001
42466966,42473255,QuincyStreet,43.2915165
42467162,42467164,MillerAvenue,23.68729954545455
42810507,42833501,46thStreet,38.22127263157895
277028983,42926092,57thAvenue,18.684928933333346
42809582,42862144,69thStreet,6.320248095238098
42467160,42467162,MillerAvenue,13.90766863636364
42467159,42467160,MillerAvenue,14.53255678571429
42466962,42473245,GreeneAvenue,47.49747699999999
42809579,42862140,68thStreet,28.040694000000002
42467157,42467159,MillerAvenue,12.214013333333332
42467155,42467157,MillerAvenue,21.32522857142858
42466959,42473232,LafayetteAvenue,37.7212315909091
42445817,596776349,ParkAvenue,11.851721635485823
42466957,42473229,KosciuskoStreet,38.7117198051948
42466376,42491220,LeonardStreet,40.397857077774155
42910642,42874669,74thStreet,29.84707447204969
42734305,60924009,OgdenAvenue,13.859323565891467
42445817,596776201,ParkAvenue,11.876746847290635
42762606,42745120,BostonRoad,9.101906785714283
103116506,1858043507,CrossBronxServiceRoadNorth,10.405228571428571
103137103,103137087,RiverRoad,15.2603
1657671821,1334569047,DoctorTheodoreKazimiroffBoulevard,16.573468695652174
42860167,42866328,62ndRoad,32.8917
103235392,103235768,PalisadeAvenue,5.734088813559321
42467143,42467150,MillerAvenue,4.767718787878788
42810494,42833309,29thStreet,11.969912610489105
42466947,42473217,PulaskiStreet,37.45555684931507
1061531707,42439464,West66thStreet,45.91559674934832
42862735,42786642,CoronaAvenue,5.031972928994083
2757013521,42898788,86thDrive,9.31095
42467139,42467143,MillerAvenue,8.863953902439023
42910631,42874655,HazenStreet,22.74202105263159
1061531608,42442422,Broadway,19.707973692712752
42754112,2827501290,SaintAnnsAvenue,40.2613300813008
42467138,42467139,MillerAvenue,15.303391666666668
42762594,42745176,PelhamParkwaySouth,12.960289285714286
42464866,42537496,SouthPortlandAvenue,14.854523198818894
1061531603,42442480,West86thStreet,39.52442107300889
42763397,42720202,HenryHudsonParkwayWest,31.362088888888888
42466939,42473213,WilloughbyAvenue,38.95362214912282
595338100,42441949,RiversideDrive,9.103045872611467
103137087,103137103,RiverRoad,19.65845214285714
276299131,276314184,QueensBoulevard,17.550363290322586
482539630,2446054619,70thStreet,5.839501011764709
103137087,103137081,RiverRoad,11.886737777777775
42762606,42744531,BarnesAvenue,11.784868
103874365,103874363,GregoryAvenue,16.328231578947367
42859103,42898828,SenecaAvenue,17.11405
42762584,42745144,BakerAvenue,12.383216999999998
42466506,42486350,UnionStreet,17.587350757198735
42466189,42496169,8thStreet,35.527236999999985
42859100,42898825,CypressAvenue,11.907691000000002
42517050,42492328,SandfordStreet,24.376218516452866
42762558,42745895,SaintAnnsAvenue,10.456867637362636
103137081,103137087,RiverRoad,16.3220275
42466188,42496172,9thStreet,39.02520874779543
42465382,42521147,26thStreet,52.73094210526314
42516276,42516279,MarcusGarveyBoulevard,16.400118641655887
42762521,42746959,BostonRoad,3.2310895652173905
42466184,42496177,11thStreet,34.34163184079602
42807473,42926251,101stStreet,13.284122777777776
42762551,42745917,3rdAvenue,9.495134910714286
42517044,42492316,FranklinAvenue,33.066867557388825
42466180,42496186,13thStreet,36.01298578680205
42467104,42467484,KingstonAvenue,16.39413476190476
42517047,42492110,MyrtleAvenue,14.756185430894316
42467033,42469624,GreeneAvenue,17.785690375505492
42466655,42481338,WestDrive,16.25963082474227
42516815,42499237,SaintPaulPlace,15.198291739130434
42517044,42492110,MyrtleAvenue,15.016972768240334
42465408,42519962,32ndStreet,37.50693846153846
2807693088,2807693089,AtlanticAvenue,15.009533333333335
42862044,42807109,PalmettoStreet,52.23643636363637
42467030,42469621,LafayetteAvenue,17.451038302207113
42467111,42467104,MidwoodStreet,37.523475
42762404,42750152,GuerlainStreet,8.977367999999998
42516653,42504093,HarrisonAvenue,10.647895564371632
42516653,42504087,BartlettStreet,5.849388086956522
42467026,42469615,WilloughbyAvenue,15.42387715277777
42862039,42807106,LindenStreet,44.859369230769225
42467317,42460576,LenoxRoad,15.53105
42909259,42916119,65thStreet,13.824242222222226
42467024,42469614,MyrtleAvenue,16.90467966738974
42467023,42469612,ParkAvenue,14.228504378651097
103874467,103870384,WashingtonStreet,10.007085714285717
42467104,42467095,MidwoodStreet,14.48565
42516255,42516258,MarcusGarveyBoulevard,16.0129243283582
276299053,276315696,QueensBoulevard,18.287588205128202
42467313,42460576,LenoxRoad,11.11254860465116
42517547,42476086,MontgomeryPlace,38.99347857142858
42861870,42812097,84thPlace,9.52515
42516250,42516255,MarcusGarveyBoulevard,14.815182519809824
42909782,42899662,79thLane,21.354929821428566
42467016,42469606,FlushingAvenue,11.500546355916901
42809642,42858220,83rdPlace,21.324526206896547
42859271,42892542,DryHarborRoad,8.27566118181818
42467095,42467091,MidwoodStreet,7.166380606060606
42859271,42892538,DryHarborRoad,12.109065454545453
1293095295,103859189,PavoniaAvenue,31.28023875
42761360,42782029,WhitlockAvenue,6.787826
103874202,103878274,PalisadeAvenue,6.90372
42516245,42516250,MarcusGarveyBoulevard,15.559880482014375
42465349,42521145,22ndStreet,44.531471428571415
42467091,42467089,MidwoodStreet,5.070601666666667
2829090598,2829090597,East170thStreet,12.69760733333334
42467089,42467085,MidwoodStreet,5.559215666666666
