name,pop,area (m^2)
42920903,1076,882568
42920817,4244,197925
42920456,2674,106554
42919984,3911,443389
42919702,5176,172191
42919158,5161,203092
42918696,2751,130607
42915653,8757,174892
42914151,3871,227158
42909370,1789,156548
42908954,6151,692388
42908922,2064,137900
42908498,4321,223565
42908448,3915,238728
42907664,5272,375588
42907521,2454,143507
42905733,29,153109
42905073,3625,186308
42905004,3616,129501
42904573,1507,218979
42904193,5440,541755
42904174,1983,190526
42903957,3148,692232
42903166,4963,169993
42900665,2910,591221
42900209,4700,394207
42899977,4729,157458
42899045,2601,524959
42896831,3633,98391
42896214,2630,158580
42895830,1363,193202
42895818,3254,143113
42895514,7039,260394
42895415,4425,158097
42895302,7571,195884
42895105,4247,129756
42893103,7414,222180
42892933,1388,164961
42892848,5539,229707
42892342,1217,163316
42891894,2597,267294
42891722,1675,145097
42891715,1666,194149
42891713,1495,133353
42890462,2796,191979
42890447,1592,146970
595750834,4669,67193
42888772,12330,153435
42888681,1028,1541842
42885742,1621,170461
42885332,2782,173971
42884838,7415,177715
42884764,1786,185953
42883985,2128,215654
42882977,4169,190210
42881818,3381,149461
42881052,1662,161806
42880675,2746,264776
42880327,3611,98522
42879591,1416,134544
42879466,2783,257710
42879315,6136,162212
42878203,3303,129052
42877863,1579,201650
42877849,3848,212927
42876834,3516,187131
42875036,3571,167108
42874993,4604,170095
42874631,1701,111478
42874058,5949,212503
42873544,2690,155113
42870698,5308,161539
42870606,3683,213345
42870429,6777,199944
42870420,5094,152931
42870297,6220,198668
42870244,5720,237043
42869669,2426,157374
42865969,4047,225397
42864760,6781,139120
42863112,3360,189825
42862775,27,1339056
42862627,2852,225249
42862489,3997,182449
42862048,3296,144531
42861860,4094,252411
42861644,2303,221348
42861560,2010,240626
42861235,2289,164508
42861196,2474,508310
42861179,3984,179250
42860726,2831,151500
597294551,1054,468004
42860677,4942,270869
42860659,4278,170942
42860653,4464,158499
42860531,4790,545016
42860516,4598,341238
42860012,1411,135794
42859973,8278,259950
42858169,2575,252974
42858084,7527,211990
42856656,7992,408191
42856560,2251,147692
42856541,5644,195052
42855898,5546,194262
42851486,4444,78090
42850850,4018,436558
42850472,2552,172758
42849669,2325,185559
42849656,3050,150737
42849225,1188,111587
42848917,2388,198779
42848888,2879,157306
42848687,2747,254172
42847870,4574,316649
42847549,4835,312398
42846481,4284,159253
42846372,2077,147846
42846359,1960,90429
42846288,8631,213383
42846177,6002,210292
42846156,6232,196028
42846114,3729,214289
42845937,1486,348291
42845920,1957,251619
42845818,2134,164136
42845808,2367,193537
42844965,2147,150244
42844387,2111,154428
42843686,19,486235
42843373,2437,170813
42843338,3493,160511
42843183,3947,138348
42842735,4062,171163
42842564,3712,404167
42842481,4065,136567
595703198,6617,181869
42841847,3492,217707
42841242,2811,273965
60928425,7074,257039
42839155,3021,198302
42838801,2063,202048
42838628,2931,177040
42838614,4210,245743
42838540,6887,177624
42837511,2201,213984
42836491,5456,387406
42835690,3885,166205
42835681,2397,134898
42835658,4240,139241
42835647,3400,150839
42835637,3619,150835
42835618,4255,150851
42835602,6743,351702
42835523,3670,182042
42834154,1592,68348
42833525,1202,593966
42833506,2145,121487
42833248,3963,195230
42833059,2950,191189
42833019,2246,127735
42833017,3054,147950
42832991,3853,153366
42832982,3676,111415
42832590,3089,112816
60920487,4013,285283
42832302,8570,151387
42831671,8726,138855
42831212,5304,114214
598050847,4247,182005
42829239,1979,307934
60917021,5771,446291
60916829,2846,294306
42827714,4413,225130
42827708,2829,156808
42827650,4573,155133
42827451,3114,423969
42827414,1567,117485
42827236,3881,252144
42826590,3500,261195
2504882506,6004,179045
42826060,1478,126674
42825962,3934,284182
42825299,3088,242703
2061592973,2755,65414
42824389,7112,142016
42824219,1351,152130
42824181,2377,107696
1942055039,3484,499693
42824172,4136,169679
42824112,5340,196497
42824053,6808,279994
42824029,6214,196466
42824008,4227,146818
1942054479,4427,179725
42823427,3355,150517
1942054193,2691,160628
1942053829,7280,169861
42821747,5295,713922
42821340,25,712553
42820708,3580,201806
1202018697,3753,156877
42819370,1706,181369
42819341,3275,328125
42818844,6253,1153216
42818520,4116,129230
42818511,4231,141556
42818487,4611,211052
42817819,2876,102053
42817805,4591,127425
42817797,6031,214220
42815941,1542,150827
42815829,1067,165958
42815810,2231,137123
42815764,1270,273044
42815716,3442,362191
42815151,6476,186042
42814862,3502,161256
42814482,3722,114343
42814176,3783,155191
42814124,3921,214681
42813927,4871,132481
42813913,5811,170870
42813899,2883,133881
42812236,1476,133580
42812049,3,281187
42811426,4582,264572
42811330,2676,195419
42810983,2662,142387
42810512,2794,133431
42810248,2513,189695
42810177,1597,168407
42809954,5826,202060
42809929,4147,606908
42809864,4790,164532
42809632,2100,229105
42809521,4630,263488
42808177,4949,1143608
42807873,7,1257243
42807867,1123,509438
42807546,1938,267520
42807473,4033,133146
42807247,3295,180006
42807066,1525,127081
42806626,5223,277969
42806596,4196,165273
42806511,1657,114061
42792488,1706,160095
42790098,1358,123364
42788020,4132,170186
42787455,4120,200287
42786823,5071,474404
42786538,2097,274457
42782755,8521,192403
42781415,3587,77540
42781382,2976,135467
2640103270,11236,169335
42780445,2950,159383
42780363,3188,124863
42779042,4864,111231
42777778,3090,201853
561035376,14934,212455
42776419,1003,129712
42774790,1241,47571
42774185,3893,140161
42773147,6996,273889
42773014,9680,214459
42771338,3640,100522
42771094,4509,92720
42770885,1304,144288
42770821,3850,150505
42770579,4797,95100
42769855,5461,238927
42769236,5228,153031
42769150,3592,350701
42769073,3441,167070
42768870,3583,167405
42768572,7466,412406
42767900,4584,204891
42767640,5378,390283
42767028,3965,94274
42766812,2530,190715
